text,is_sarcastic
drexel professor says 'white genocide' holiday wish was 'satirical',0
why my anger turned to sadness when i took a closer look at my parents' lives,0
wedding caterer likes to throw in extra potatoes if it seems like couple genuinely in love,1
how netflix's serial killer drama 'mindhunter' draws from real life,0
area man thinks girlfriend's sister might be a little cuter,1
william barr shows up to congress to testify at 3 a.m. after reading email wrong,1
montana gop candidate owns stake in company accused of paying off isis,0
"entrepreneur series: growing up and doing business with... mandy ingber, celebrity yoga instructor",0
turkish president: no muslim family should engage in birth control,0
report: freezers in healthy choice corporate offices probably stocked with every kind of healthy choice you could imagine,1
farting teen sparks fight,0
black guy doesn't talk about all the times he didn't get discriminated against,1
what is needed for youth entrepreneurship in mena?,0
mother only wants one bite,1
elizabeth warren disappointed after dna test shows zero trace of presidential material,1
thursday cry moved up to wednesday due to scheduling conflict,1
north korea just launched an icbm. here's what experts think could happen next.,0
donald trump rift not what paul ryan needed in middle of 14-day cleanse,1
child at 9/11 memorial service sternly reminded we are sad today,1
california extends state worker travel ban to 4 'discriminatory' states,0
movie review: edge of tomorrow... don't go there,0
"ahead of hurricane irma, miami detained homeless people against their will",0
fox news and cnn win cable network ratings wars in third quarter,0
family hoping mother knows birthday nature walk a one-time thing,1
plan to make snacks last through opening credits fails,1
top doj official implies reporter may not be jailed in leak case,0
the great republican revolt,0
watch abby wambach say goodbye to soccer in emotional final game,0
area man finally in enough pain to go to doctor,1
man not sure what to do about vet's request for dog-urine sample,1
these kittens learning to walk is so cute it'll make you crumble,0
5-year-old explorer makes contact with life-forms in adjacent booth,1
financial planner advises shorter life span,1
why some evangelicals are praying president obama will reject the keystone xl pipeline,0
"orrin hatch: 'as a father of daughters, i don't give a flying fuck what happens to them'",1
woman relieved soulmate turned out to be in same socioeconomic bracket,1
report: fritz a fine name for a boy,1
area man crawling on ground like pig to plug macbook power cord behind desk,1
10 steps to fixing a credit report error,0
"meet paddles, the most powerful cat in new zealand",0
these are the most generous cities in america,0
greenpeace releases rescued dolphins into forest,1
office manager unveils new rule,1
5 ways to make your words more powerful,0
bob dole to build 'trench to 19th century',1
obama to create 17 new jobs by resigning and finally opening that restaurant,1
our favorite queer web series 'the outs' is finally returning,0
mcdonald's just caved to a ton of pissed off 'rick & morty' fans,0
latinos and the 2014 elections: five reasons to vote in november,0
of course hair stylist remembers gina,1
shoddy chinese-made stock market collapses,1
everything you worked so hard for lying in splinters at your feet,1
cast of space: 1999 reunites for tv movie space: 1999 '99,1
trump administration paves way for states to force medicaid recipients to work,0
the kurds under erdogan's tyrannical governance,0
donald trump actually tries to explain his wall to stephen colbert,0
culinary world stunned as horse meat found at 3-star michelin restaurant the horse & pony,1
what i realized when i let my mom take over my online dating profile,0
veteran given hero's welcome back to afghanistan,1
"watch this guy count to 100,000 for no reason whatsoever",0
"brazil prison riot kills at least 27 inmates, reports say",0
what i wish for my daughter,0
man's facebook status given book deal,1
koch network spent nearly $400 million in 2015,0
5 gorgeous home office ideas,0
conflict and late rains drive thousands from their homes in somalia,0
"study finds 12,000 americans die annually in what are made to look like car accidents",1
security guard can't afford to relax for so much as six hours,1
jessica alba saving money for when audience turns on her,1
"'en passant,' whispers mueller as he knocks another pawn off chessboard in shadowy, dimly lit office",1
"michelle obama made a valentine's day playlist for barack, and it's perfect",0
employee apparently confident enough in job performance to eat snacks during meeting,1
entire republican national convention stunned as ann romney asks for divorce,1
apparently werewolf was allergic to peanuts,1
...see how they run,0
personals ad omits goiter,1
bus passenger stops trying to enjoy kansas scenery,1
e.t. toys forced on uninterested children,1
ellie goulding and james corden perform 'love me like you do' remix,0
sean bean's most memorable death wasn't 'lord of the rings',0
man strains to find personalities in pet fish,1
restaurant entrance doesn't work all damn day to be called 'other door',1
watch: the pains of being pure at heart unveil new songs,0
congress splits into male and female senators to discuss newest reproductive bill,1
kirstjen nielsen reminds herself she a private citizen now after instinctively detaining mexican child on the street,1
new preventative drug would kill people before they get alzheimer's,1
bush arrives at caribbean summit aboard catamaran one,1
insane man gets a little perspective by reminding himself that he is god,1
deeply held conviction immediately dropped after friend half-heartedly disagrees,1
the great vanishing,0
subscription services provide book and toy options to parents of brown kids,0
steve nash responds to injury critics with emotional letter,0
fd&c blue #5 to restore beauty of world's oceans,1
apple's safari browser is crashing for some users: report,0
"roe made abortions legal, but it doesn't keep women and providers safe",0
biden winks after offering to buy eggnog for white house christmas party,1
"sylvester stallone shells out $400,000 for a statue of himself",0
"dreamers are people, not political footballs",0
one more (feminist) wonder about 'wonder woman': it passes the abuse litmus test,0
single mom ready to get back out there during 30 minutes per week she's not working or watching daughter,1
vin diesel breaks off tracking collar against rocky outcropping,1
ted cruz makes it too easy to point out the hypocrisy of his latest campaign ad,0
cop grudgingly admits suspect is the best goddamn pedophile he's seen in 30 years on the force,1
"sweating, shaking pharmaceutical ceo says he can stop profiting off opioid epidemic anytime he wants",1
romney takes in more money than obama for 612th consecutive month,1
let's stop donald trump from wielding his budget as a weapon against hardworking immigrant families,0
"if isis had committed the 11 school shootings since sandy hook, congress would have declared war.",0
the constant conflict between feminism and nationalism,0
video relaunches investigation into death of man held by chicago police,0
new study finds most of earth's landmass will be phoenix suburb by 2050,1
jimmy carter mediating dispute between martin luther king jr.'s heirs,0
poll: some would choose 'meteor hitting the earth' over trump or clinton,0
the fed and the markets,0
the olympic hangover is real,0
man overjoyed he no longer has to purchase entire day's worth of egg mcmuffins in morning,1
medicare should cover hearing aids,0
dice rolled on hot dogs in back of freezer,1
topless protester in spain grabs waxwork donald trump's crotch,0
dangerous and delusional,0
gop warns refugees likely to be driven to terrorism by way america would treat them,1
supreme court keeps california's 'gay conversion' therapy ban in place,0
nation healed by awesome sports highlight,1
bird of paradise just staring at david attenborough during courtship dance,1
"breaking: situation worsens in venezuela, bolivia, u.s., japan, mexico, iraq, spain",1
"the internet of everything: boring, but so important",0
these gorgeous photos of hong kong in the fifties will make you nostalgic for an era long gone,0
is hillary clinton the last democratic presidential candidate to support the death penalty?,0
coworker who just threw fit and stormed out of room looked like total badass,1
"'with binomials, just remember foil,' reports man keeping teens from having sex between 2:30 and 3:20",1
why donald trump fears women,0
2 stabbed at party in wu tang clan founder rza's home,0
"windows toolbar, mouse cursor visible throughout memorial service slideshow",1
lights go on: part xxxxii -- the power of her name,0
"'i used to look up to you,' shouts anguished flynn jr. running out of room after learning father a perjurer",1
ape's tits incredible,1
that same guy with the glasses at every rock show,1
"trump promised senator no federal crackdown on legal weed, but who even knows",0
this unreleased britney spears song is all kinds of sultry,0
the feminine culture: 6 things i learned from women that make me #thrive,0
firefighters are happy to rescue 12 police officers stuck inside elevator,0
relieved malia obama quietly thanks secret service agents for taking rap for her,1
kanye west scrubs entire twitter account of any mention of trump,0
wednesday's morning email: kim jong un visits china,0
pieces of bread really starting to pile up for overworked duck,1
liberal activists encourage citizens to call their late-night hosts and urge them to oppose tax plan,1
napkinless man with grease-covered fingers realizes he trapped in a prison of his own creation,1
escalating tensions lead trump to shake up inner circle of tv programs,1
9 lovely thoughts that will brighten your day,0
stephen colbert is driving bill o'reilly crazy,0
man from canada acts like he's not cold,1
"american people shrug, line up for fingerprinting",1
rachel maddow stands by her trump tax reporting,0
christmas pageant enters pre-production,1
pete buttigieg stuns campaign crowd by speaking to manufacturing robots in fluent binary,1
photographer captures private moments of lgbtq icons in stunning color,0
artists as global citizens,0
juul unveils sleek new e-smoker,1
roommate protective services rescues helpless 22-year-old from squalid apartment,1
vital info on iraqi chemical weapons provided by u.s. company that made them,1
top 15 travel spots for 2015,0
we tested the new 'tearless' onions to see if they really work,0
emmanuelle seigner in venus in fur: the interview,0
fda recommends at least 3 servings of foods with word 'fruit' on box,1
mount holyoke commencement speaker thanks activists for their 'disruption',0
the real reason trump can't break the gop,0
amy schumer stuns in a white minidress at gq men of the year party,0
camera admits it can't do much for barry,1
not even he can mess this up,0
study: use of phrase 'don't skimp on the' linked to heart disease,1
hippie will tell you what the real crime is,1
"by letting go of perfection, i found my strength as a mother",0
trio of cutups attempts to hide horse from landlord,1
spider-man mask spices up blind date,1
first automated foxconn machine immediately tries to commit suicide,1
'les misérables' takes home oscar for most sound,1
creepy photos of abandoned insane asylums will keep you up at night,0
pornography-desensitized populace demands new orifice to look at,1
kim kardashian says goodbye to obama with family photo and now we're crying just like north,0
jim carrey taunts 'psycho' mike pence with biting new portrait,0
nick verreos sees a marriage between fashion geeks and computer geeks,0
staples brings on extra staff to sit around and do nothing for busy back-to-school season,1
pence unveils campaign to educate teens about dangers of premarital eye contact,1
jennifer lawrence stuns in oscar de la hoya gown,1
cool 'cybergranny' needs machines to help her live,1
"after a string of accidents, u-haul announces closure of aircraft division",1
i wish i could borrow someone else's heart while mine heals,0
university admits it pretty weird they let bunch of 20-year-olds live in big mansion and torture each other,1
you'll never believe what these wedding dresses are made of,0
aaa member pulled first from car crash,1
"playing an aspiring rapper in 'patti cake$,' danielle macdonald is summer's breakout star",0
13 ghastly money mistakes that could come back to haunt you,0
"world shocked by possible link between olympics, big money",1
body found near where kayaker went missing,0
special guest at sea lion show just another sea lion,1
man in mickey mouse suit obviously attempted to eat ribs,1
cash-strapped yellowstone cuts funding of program to provide hibernating bears with sleeping caps,1
5 reasons trump's mika tweets are even worse than you think,0
exploring letters from himmler,0
poll: 85% of americans would like to see candidates compete in funny obstacle course,1
6 steps to help you genuinely forgive even the unforgivable,0
interview: director david dobkin on the judge,0
"sport for good: nelson mandela's vision, one community at a time",0
allison schmitt proves depression doesn't have to hold you back,0
angry voters not soothed by clinton's policy prescriptions,0
why this coptic christian bishop is willing to forgive isis,0
totally not drunk new mexico governor chastises cops for breaking up her hotel party,0
"made in the image of god: art, feminist theology and caroline mackenzie",0
boy with autism reunites with college football player from viral lunch photo,0
hillary clinton campaign shuts down after blowing through $2 billion in first month,1
king latifah returns for wife,1
'walking dead' actor daniel newman comes out on youtube,0
hotel in a volcano-waterfall is the sweetest digs you'll ever find,0
"'look, just tell us who to kill,' snaps u.s. general as trump enters 20th minute of rambling answer on syria",1
teen weed users may face high risk for dependence,0
americans bravely go to polls despite threat of electing congress,1
report: 23% of population just sort of like that,1
assistant manager accused of sexual indiscrimination,1
mexico mayor killed less than a day after taking office,0
wendy williams says she's 'sick of this #metoo movement',0
yale humanists seek to unite new haven community with holiday obelisk,0
a letter to parents at the start of a new school year,0
armchair quarterback blitzed,1
how to use distractions to help your meditation,0
director has clear vision of how studio will destroy movie,1
irs can't believe area man didn't get a raise last year,1
trump's statement on canceled london visit is full of falsehoods,0
painted-over spot on public bathroom wall must conceal some really fucked-up graffiti,1
logo in corner of tv reminds man he's masturbating to spice,1
chemical weapons almost certainly killed jewish refugees the u.s. could have taken in,0
trump's paid parental leave plan is a non-starter,0
flight attendant quietly informs first class passengers where real emergency exits are,1
never to be forgotten - a year on from chibok,0
single diner in empty restaurant asked to move to smaller table,1
you can just push shit in back seat out of way,1
bill clinton admits that knowing what he knows now he would have still preyed on women,1
frustrated sycophant can't figure out what boss wants to hear,1
what everyone should know about life with a brain injury,0
world's religious leaders admit they just love getting to wear frilly little gowns and having a blast,1
family embarrassed by way son died,1
inner-city prodigy earns ged at age 11,1
"america's 'overdose capital' is rising up, and it's time for the media to pay attention",0
chrissy teigen is thankful she can now filter out the haters on instagram,0
republicans praise nixon administration for allowing qaddafi to rule libya so he could one day be overthrown,1
gop prays for ossoff lossoff,0
dinty moore breaks long silence on terrorism with full-page ad,1
man who actually needs grey poupon unable to bring self to ask,1
virginia schools close after uproar over arabic calligraphy lesson,0
trumplethinskin: a president's day fable,0
the importance of staring out the window,0
new financial report finds economy invincible forever this time,1
trump campaign selects mike pence as concrete reminder that this all really happening,1
nearly 1 in 10 children not enrolled in school: un,0
game of thrones: tyrion will soon betray daenerys,0
testing: enhanced interrogation in the classroom,0
each passenger has own theory about how guy got into first class,1
everyone forgets to bring swimsuits to coworker's party,1
man at gym just watching tv,1
let us not celebrate a fifth anniversary of the syrian conflict,0
here's your chance to attend kobe bryant's last game,0
new 'steak & onion' potato chips taste disturbingly like steak and onions,1
many native americans still hold traditional beliefs about white man,1
"woman rushes to hide fragile objects, cover up sharp corners on tables before boyfriend comes over",1
endangered species list edited to fit poster,1
christina aguilera is barely recognizable on paper magazine cover,0
investors stake out greenspan's house for signs of rate increase,1
catchphrase from 'the love guru' overheard,1
bill and melinda scoggins foundation pledges $58 for charity,1
australian journalist's devastating take on trump at g-20 goes viral,0
here are the americans who believe in the miracle of donald trump,0
"job candidate awaiting interviewer just smiling, making enthusiastic eye contact with every passerby in lobby",1
"4 copy editors killed in ongoing ap style, chicago manual gang violence",1
department of interior brings down derelict rainbow with controlled demolition,1
woman pieces together timeline of boyfriend's past relationships like detective tracking zodiac killer,1
sight of o.j. simpson actually kind of comforting,1
guerrilla stunt jumper's pool plummet will make your jaw drop,0
bernie sanders has a very lonely but very committed following on wall street,0
apparently andrew wk is a healer,0
sec replay official overturns 'roe v. wade',1
drunk american in england still not used to driving on left sidewalk,1
ad exec doesn't care what proverb actually means,1
"desperate starbucks now pleading for people to masturbate, use drugs in its restrooms",1
the essentials of blogging for small business,0
'hands across liechtenstein' raises $30 for liechtenstein charities,1
former cia officials give turkish coup plotters advice on cnn,0
police homicide investigation uncovers cap in ass,1
u.s. military defends controversial decision to test kilauea volcano on hawaiian civilians,1
"kentucky's gop bromance deepens, even without true love",0
40-foot american flag pin welded to statue of liberty,1
the damaging belief that's keeping you from finding calm,0
trump undercuts easy obamacare attack with dig about bill clinton's infidelities,0
trans women and trans men offer intimate answers to personal questions,0
"traditional campaign tactics are basically a waste of time, new study concludes",0
anti-homosexuality sermon suspiciously well-informed,1
'hägar the horrible' cartoonist expected more for 40th anniversary,1
cross-shaped wwi monument declared unconstitutional,0
blacker and better: jessica lea mayfield,0
heroic officer rescues skunk on same street where he once saved ducklings,0
inexperienced streaker to practice in living room a few times before doing it for real,1
voters are excited for november despite not really loving the likely nominees,0
when christmas isn't merry,0
mta unveils $28 billion plan to renovate subway masturbators,1
woman in kickboxing class can tell she's going to whine about how sore she is in the morning,1
aids baby lays tiny hand in palm of 'onion' reporter,1
"suspect in stockholm truck attack confesses to terrorist crime, lawyer says",0
"dear dads, thank you for who you are",0
atlanta-area church to burn ceremonially throughout olympics,1
dick masturbates in tickle creek: cops,0
north korea's internet is back up after mass cyber attack,0
dad shares photo album through never-before-seen website,1
"the actual rohingya death toll is 22 times higher than official estimate, survey shows",0
ice lawyer charged with trying to defraud immigrants by stealing their identities,0
these boston bombing survivors don't think it's too soon for 'patriots day',0
bet you didn't know gal gadot is pronounced with a hard 't',0
game-changing plays from week 3 in the nfl,0
gop officials: kavanaugh shouldn't be held accountable for something he did as white teenager,1
what those racy photos of cowboys' jerry jones represent,0
nationwide tax day marches demand donald trump release his tax returns,0
botanist holding up entire salad bar,1
report: one in three americans will get dessert if someone else does,1
here's what happened when a drag queen interviewed trump supporters,0
julianne hough lived in pain for years because of endometriosis,0
patton oswalt uses icky sauna analogy to describe donald trump,0
trump raises concern over members of urban communities voting more than zero times,1
tiffani thiessen's daughter and newborn son are beyond adorable,0
"first grandma, treasury secretary geithner up all night talking, laughing",1
the extraordinary ordinary life and death of elisabeth kübler-ross,0
judge orders florida's 'stand your ground' law to step back,0
freshness escaping from bag of peas,1
congolese rebel can't bring himself to care about congolese war,1
adorable bear cubs hitch a ride on mom's back across an alaska lake,0
studio admits entire israeli-palestinian conflict just marketing campaign for 'you don't mess with the zohan' that got out of hand,1
dole reveals one cantaloupe out there contains $10 million check,1
james van der beek's daughters had an amazing reaction to 'moana' performance,0
my lovely wife in the psych ward,0
paul ryan says he doesn't want to work with democrats on health care,0
hillary clinton practiced dodging trump's 'hugs' before the debates,0
nation braces for 13 more weeks of coworkers talking about their fantasy football teams,1
wendy whelan's farewell performance at nycb featured 'after the rain' pas de deux,0
report: mothers not paying attention to 80% of cool things nation's boys do,1
'black panther' star michael b. jordan wants his killmonger's hairstyle to become a trend,0
inaccuracy of every single detail forces student paper to pull story at last minute,1
where is happiness? the question was answered two millennia ago,0
chimp study on human-evasion response to feces-hurling nearly complete,1
the one thing you need to know about 'the judge',0
trump's obsession with chinese currency manipulation is sooo 2014,0
man arriving early to party to walk up and down street for 10 minutes,1
defunct 4-year-old sports blog still lurking on internet,1
bob iger offers rupert murdoch one night with mickey mouse in exchange for 21st century fox,1
new ebola quarantine protocol seen as barrier to volunteers,0
nation did not see mark wahlberg's sex change coming,1
report kenan thompson is leaving 'snl' deemed 'inaccurate',0
"tsa under fire over expensive, ineffective program",0
procrastinating attorney just reuses opening statement from last trial,1
syrian militias armed by cia are fighting syrian militias armed by pentagon,0
"'loud, desperate need for approval' leads tony nominations",1
"just a heads up, your eyelashes are probably crawling with mites",0
"mom getting pretty into new tyler, the creator album",1
why a democrat is now blocking an obama nominee,0
obama visits arlington national cemetery to honor veterans,0
everything you need to know before watching the 'stranger things' season 2 premiere,0
tim kaine stuffs handful of goldfish crackers in ballot scanner,1
nation secretly hoping 9/11 becomes a day off soon,1
john boehner calls for national guard to deal with illegal immigrants hiding in mexico,1
unpopped kernels costing u.s. billions,1
they wore it best: miami's most glam moments of 2014,0
49-year-old nearly back to pre-middle-school confidence levels,1
"i'm a republican, but this isn't the tax reform our country needs",0
ford recalls 2010 mustang for being too cool,1
hillary clinton scores another big union endorsement,0
rubio slams private fundraiser secrecy: 'it's a public event',0
the effects of 'western' colonization of india on the lives and future of the women of the indian-subcontinent,0
australian politicians are gloating about their nation's draconian refugee policy,0
census bureau releases annual report on neighborhood vibes,1
field museum officials announce long-awaited pregnancy of prized t-rex,1
"fordham, education department sued over student's mental health records",0
heavily processed food makes pathetic nutritional claims,1
drunk man incites panic after jumping on bar and praising allah: police,0
saturday's morning email: funnies edition,0
treasure hunters discover wreck of 18th-century carnival cruise ship,1
trump on cabinet picks: 'i want people who made a fortune',0
darla moore,0
how to break your way into a locked suitcase... just so you know,0
mom wants to know if you'll be free if she visits 14 months from now,1
well-off white men are 3 times more likely than women to get job interviews,0
creative writing professor takes time to give every student personalized false hope,1
cnn's charlottesville coverage shows its deep bench of pro-trump pundits,0
lockheed martin engineer told to make it sear faces off faster,1
this congressman thinks we can fix the economy by drinking beer,0
small town beginning to wonder what taking heroin epidemic so long to get there,1
hamburglar urges senate subcommittee to 'robble robble robble',1
bill gates finally getting into radiohead's kid a,1
trump campaign training poll watchers to spot any suspicious skin colors on election day,1
asian immigrants becoming us citizens at high rate,0
this is what we call extreme biking,0
new blog piece on woody allen to settle everything,1
orlando survivor angel colon takes first steps by himself since tragedy,0
ghost of brando urges man to finish whole cheesecake,1
pride in mental health: an interview with the trevor project and crisis text line,0
movie marketed as six different genres,1
broke dad makes son playstation 2 for christmas,1
the final indian war in america about to begin,0
barbara bush calls white house to see if she can leave husband there for few hours,1
dad describes delivering his own baby on twitter,0
texas sheriff cracks down on chicken-on-chicken violence,1
rodent clearly making its way through steve bannon's body throughout national security meeting,1
tuesday's morning email: trump's bad press just got worse,0
kid about to meet brooklyn nets must not be very sick,1
scott disick and 18-year-old lindsay vrckovnik are apparently just friends,0
tulip popping up in middle of march must think it some kind of hotshot,1
third world disease eliminated with hot-air hand dryers,1
daily news threatens union drivers,0
americans trust hillary clinton over donald trump on terrorism,0
sylville smith's father blames himself for being 'wrong role model',0
nine rules for effective online content,0
even more evidence that anxiety can be genetic,0
nation suddenly concerned about black man's opinion,1
"one year later, arizona real estate investor still missing",0
witty remark repeated throughout week,1
'so what did i miss?' asks michael flynn tilting large flower on lapel towards trump,1
hillary clinton calls for 'basic bargain' on economy,0
'ravaged' named florida's official state adjective,1
that time mariel hemingway made out with all the women on 'snl',0
remembering that may of 1963,0
"experts say earliest warning signs of mental health issues usually crossing eyes while dribbling finger on lips, saying 'cuckoo, cuckoo'",1
jeb bush insists he's a washington outsider,0
city of baltimore targeting young professionals with new 'you get used to it' campaign,1
gold bracelet picked up at pharmacy,1
feedback taking too long to be positive,1
katherine heigl says she 'would never intend to be difficult',0
boehner backs lifting crude oil export ban,0
muslim women forced to remove hijab for mugshots file civil rights lawsuit,0
man adds a few personalized tracks to standard new-girlfriend mix cd,1
silence your thoughts with this simple technique,0
proactive man removes own teeth in attempt to curb nail-biting habit,1
peter dinklage might've spit his gum into wife's mouth before accepting his emmy,0
granny's powerful testimony through song,0
jogger clearly on first run of plan to turn life around,1
reasons we drink heavily on thanksgiving,0
"huffpost hill - can hillary clinton give out 600 snow shovels, meet with a bunch of rich lesbians and have it all?",0
most of trump's voters don't think he's changed since taking office,0
teen had absolutely no say in becoming part of snapchat generation,1
grandma guts it out through lunch on sunny patio,1
bernie sanders predicts he'll pull off 'one of the great political upsets' in history,0
bill clinton says 'we are all mixed-race',0
man entirely different misogynist online than in real life,1
embattled rove seeks asylum in scarborough country,1
russian lawyer admits to repeatedly informing kremlin of trump campaign's ineptitude,1
poll finds hillary clinton candidate most americans want to have 8-ounce glass of tap water with,1
luke bryan says confederate flag has become a 'symbol of racism',0
white house: it's 'highly inappropriate' for journalists to criticize a general,0
"sighing, resigned climate scientists say to just enjoy next 20 years as much as you can",1
trump's comments about assault are a symptom of a much larger issue,0
"human slave from future remembers when cyber monday was about celebrating savings, not robot uprising",1
"oh wait, area man not paul",1
terrified dolphin throws himself at man's feet to escape hunters,0
"mlb players yordano ventura, andy marte die in separate car crashes",0
calumet farms unveils new tandem horse for couples riding,1
i am a public school teacher. give me all the refugees you've got!,0
man wouldn't be eating at red robin if he knew bus was going to hit him in 18 minutes,1
parents finally tell 2-year-old about 9/11,1
exclusive met gala photos you won't see anywhere else,0
orrin hatch mistakenly left dangling in bondage-fetish dungeon,1
"new report finds link between each passing day, jeanette getting more beautiful",1
white house press secretary responds to question about rising obamacare premiums with torrent of toxic spray from parotid glands,1
beach boys confirm they're considering playing trump's inauguration,0
huffpollster: is bernie sanders really leading in new hampshire?,0
'true blood' characters openly talking about how they can't wait for episode to end,1
where in the world is the best place to be in may?,0
glass-encased ar-15 behind gun shop counter in safest hands it will ever be,1
five reasons to love fashion designer bibhu mohapatra,0
smiling now primarily used to communicate anger,1
nation's baby boomers hold press conference to announce they all have diseases now,1
latest online security breach forces mom to change post-it,1
study finds humans crave sweet foods because they're weak—they're weak and they're small,1
encouraging report shows 45% of onion social users survive beta testing,1
what all writers (and human beings) should keep in mind,0
"john mccain, czar hater, calls for ebola czar",0
you to receive 15 pounds of venison sausage from uncle,1
yahoo's meeting programmatic demand from advertisers at the newfront (video),0
the politics of presidential dieting,0
bill clinton's welfare reform law is kicking up to 1 million people off food stamps,0
democrats demand that devos explain how she is going to protect trans students,0
king of queens creator thinks everyone's ripping him off,1
trump court pick says he was joking when he compared gay marriage to marrying bacon,0
jenna jameson calls on women to #dropthecover and celebrates motherhood,0
michael cohen promises more damaging recordings of trump already public,1
a member of the far-right proud boys menaced a twitter user on his doorstep,0
do you and your spouse both drink? why it could matter for marital bliss,0
executive reschedules wife's birthday for october,1
man with stupid breaks off co-dependent relationship,1
republican supporter of kim davis contradicts his own stance,0
fast food customers less appealing than in commercial,1
trump vomits immediately after seeing everyday americans up close,1
how elizabeth warren's own book makes the case she should run for president,0
early-morning jogger pities everyone still sleeping,1
university of nevada renames vito corleone school of business following latest accusations against benefactor,1
k-pop fans lost their minds during the winter olympics closing ceremony,0
men don't have it all,0
"three qualities a woman should possess to be powerful, from jill abramson (video)",0
this one thing can enhance your office productivity,0
hillary clinton opens new presidential library charting course of purely theoretical tenure as commander in chief,1
american airlines admirals club installs two-way mirror for members to enjoy misery of passengers in gate waiting area,1
"senate panel to probe russian hacking, links to campaigns",0
area woman has already figured out who killed the vicar,1
8 times the internet tried to explain the world with 'pokemon go',0
woman amazed she found perfect partner just when she was getting desperate enough to accept anything,1
former high-school bully pulls you over for speeding,1
lifelong newport smoker barely alive with pleasure,1
equal pay won't happen as long as employers ask for salary histories,0
report: more prisons now encouraging inmates to explore their creativity by designing own method of execution,1
google will team up with ford to build self-driving cars: report,0
"you think these foods are healthy, but they are not",0
shared memory of children's television show leads to sex,1
"go west, young dan",0
the politics of lgbtq people: caitlyn jenner and class differences,0
all the proof you need that katy perry and orlando bloom are still on,0
the black friday and cyber monday travel deals to book asap,0
report: increase in gun sales to be most concrete result of obama's pro-gun-control speech,1
paul ryan crushes trump-loving primary opponent,0
group of friends chanting 'shots' make compelling point,1
"rick perry speech electrifies 1,200 scared, miserable racists",1
man driving while making youtube video to explain how pc culture destroying america,1
financing the flames -- nif parade fracas pushes outraged jewish groups to define mainstream,0
man reportedly unleashes trump-inspired anti-lgbtq rant at church,0
obama administration accused of violating constitutional rights of immigrant detainees,0
chance the rapper livestreams traffic stop in chicago,0
joe biden: being vice president is 'a bitch',0
66-year-old 'washington post' reporter hopes he liveblogged state of the union right,1
gears of war crimes court finds 2006 locust horde massacre justified,1
fire chief grants fireman 3-day extension on difficult fire,1
want to change the world? get ready to get your hands dirty together,0
tourist in white house gift shop browses rack of security clearances,1
harley-davidson releases new motorcycle designed for men,1
alex jones struggling to convince skeptical police after witnessing actual murder in neighbor's backyard,1
"fun fall recipes, from joy bauer (video)",0
the best relationship of your life will be with someone 'clingy',0
management determined to find out who in company leaked information that ceo is asshole,1
massage therapist sues marvel comics' stan lee for alleged sexual misconduct,0
helicopter ride pretty much delivers the goods,1
"professor slammed to the ground by police, arrested for allegedly assaulting an officer",0
hall & oates inducted into rock and roll hall of fame (video),0
george w. bush throws shade at donald trump,0
u.s. forces take over key afghan city that will be retaken by taliban when marines leave,1
10 things to expect when you have cancer,0
conservation program helps struggling rhinos adapt to modern ecosystem by retraining them as urban scavengers,1
nina dobrev writes heart-wrenching goodbye from 'vampire diaries' set,0
ferocious rat refuses to let hungry snake steal rat pup,0
'spy' director paul feig thinks it's 'ridiculous' women don't get the same opportunities he does,0
